"№ п/п","Прізвище, ім'я та по-батькові депутата","Результатголосування"
2,Бабич Петро Іванович,За
4,Лемпіцький Валерій Анатолійович,Відсутній
6,Тоцька Тетяна Петрівна,За
8,Темченко Людмила Григорівна,За
10,Скотніков Юрій Анатолійович,Не голосував
12,Крилова Тетяна Миколаївна,За
14,Бойко Сергій Олександрович,Не голосував
16,Здоровець Олексій Михайлович,Не голосував
18,Коваленко Вікторія Миколаївна,За
20,Гредунов Євгеній Валерійович,Утримався
22,"Черепейнік Леонід Володимирович",Проти
24,Опалько Володимир Григорович,Відсутній
26,Бельський Сергій Костянтинович,За
28,Тютюнник Андрій Анатолійович,За
30,Дудко Борис Володимирович,За
32,Дяченко Аліна Олексіївна,Проти
34,Берестовий Олег Ігорович,Проти
36,Саук Андрій Миколайович,Проти
"","",""


